BYrId,Season,CalfWeight,FirstWeight,NewWeightDate,WeightType,Primiparous,OwnSex,Age,Foffspring,Inbred,AdjF,BlueBerry,Gras,Heath,Human,ShortHerbs,TallHerbs,Unproductive,Water,Deciduous,Open,Pine,Spruce,YearObsv,BirthYr,IdNr,DayswObsv,BlueHeath,DecidPine,GrasShort,HeathGrass,Conifer,Closed,AgeClass1,AgeClass2,AgeClass3
2004-1092,Summer,176.9135861,177,24,Marked,0,2,7,0.265625,0.1875,0.027074376,0.349590798,0.192380004,0.320946693,0,0.00729927,0.093895156,0.03163017,0.004257908,0.225171422,0.706591462,0.025381553,0.042855563,5838,2004,1092,137,0.670537492,0.250552975,0.199679274,0.513326698,0.068237116,0.293408538,Prime,Prime,Old
2004-1092,Summer,182.8103149,187,24,Marked,0,2,7,0.265625,0.1875,0.027074376,0.349590798,0.192380004,0.320946693,0,0.00729927,0.093895156,0.03163017,0.004257908,0.225171422,0.706591462,0.025381553,0.042855563,5838,2004,1092,137,0.670537492,0.250552975,0.199679274,0.513326698,0.068237116,0.293408538,Prime,Prime,Old
2004-1092,Winter,176.9135861,177,24,Marked,0,2,7,0.265625,0.1875,0.027074376,0.038461538,0.324009324,0.104166667,0,0.174825175,0.358537296,0,0,0.103438228,0.524475524,0.136217949,0.235868298,5838,2004,1092,52,0.142628205,0.239656177,0.498834499,0.428175991,0.372086247,0.475524476,Prime,Prime,Old
2004-1092,Winter,182.8103149,187,24,Marked,0,2,7,0.265625,0.1875,0.027074376,0.038461538,0.324009324,0.104166667,0,0.174825175,0.358537296,0,0,0.103438228,0.524475524,0.136217949,0.235868298,5838,2004,1092,52,0.142628205,0.239656177,0.498834499,0.428175991,0.372086247,0.475524476,Prime,Prime,Old
2006-1078,Summer,254.9513484,222,85,Marked,0,2,6,0.113281,0.28125,0.135977928,0,0.463812055,0.069070205,0.001014493,0.124265836,0.334268054,0,0.007569358,0.153265359,0.636162739,0.074899718,0.135672184,3629,2006,1078,125,0.069070205,0.228165077,0.58807789,0.53288226,0.210571902,0.363837261,Prime,Prime,Old
2008-1254,Summer,69.29452315,71,280,Slaughter,0,2,6,0,0,-0.126096518,0.163000904,0.283022717,0.416654173,0,0.02128035,0.084416513,0,0.031625343,0.23681814,0.56603949,0.176117878,0.021024492,8400,2008,1254,56,0.579655077,0.412936018,0.304303067,0.69967689,0.19714237,0.43396051,Prime,Prime,Old
2008-1254,Summer,75.29452315,74,280,Slaughter,0,2,6,0,0,-0.126096518,0.163000904,0.283022717,0.416654173,0,0.02128035,0.084416513,0,0.031625343,0.23681814,0.56603949,0.176117878,0.021024492,8400,2008,1254,56,0.579655077,0.412936018,0.304303067,0.69967689,0.19714237,0.43396051,Prime,Prime,Old
2008-1254,Winter,69.29452315,71,280,Slaughter,0,2,6,0,0,-0.126096518,0.052854347,0.362710088,0.211876898,0.000603865,0.078096657,0.288539936,0,0.00531821,0.354066373,0.541033014,0.061045235,0.043855378,8400,2008,1254,69,0.264731244,0.415111608,0.440806744,0.574586985,0.104900613,0.458966986,Prime,Prime,Old
2008-1254,Winter,75.29452315,74,280,Slaughter,0,2,6,0,0,-0.126096518,0.052854347,0.362710088,0.211876898,0.000603865,0.078096657,0.288539936,0,0.00531821,0.354066373,0.541033014,0.061045235,0.043855378,8400,2008,1254,69,0.264731244,0.415111608,0.440806744,0.574586985,0.104900613,0.458966986,Prime,Prime,Old
2009-1204,Summer,78.81077781,76,283,Slaughter,0,2,9,0,0,-0.118329743,0.038426954,0.404263197,0.208465566,0,0.146236644,0.133476145,0.001229768,0.067901724,0.131267851,0.743533799,0.031021898,0.094176452,10172,2009,1204,137,0.246892521,0.162289749,0.550499841,0.612728763,0.12519835,0.256466201,Prime,Prime,Old
