year	mass	age	antsizel	antsizer	dens	agecat
1	10	1	6	6	2	1
1	11.5	1	6.5	6.5	2	1
1	13	1	9	9	2	1
1	12	1	10.5	10	2	1
1	14.5	1	11	12	2	1
2	12	1	7	6	2	1
2	11	1	8	7	2	1
2	11	1	7	8	2	1
2	13	1	8	8	2	1
2	12	1	7	10	2	1
2	10	1	8.5	8.5	2	1
2	13.5	1	9.5	9	2	1
2	13	1	9	10	2	1
2	13	1	10	10	2	1
2	11.5	1	10	10	2	1
2	13	1	11	11	2	1
2	12.5	1	12	11	2	1
2	13	1	14	14.5	2	1
3	13.5	1	3	3	2	1
3	11	1	6	6	2	1
3	12	1	7	7	2	1
3	13	1	8	6	2	1
3	12	1	8	6	2	1
3	11	1	9	9	2	1
3	9	1	10	9	2	1
3	12.5	1	10	10	2	1
3	11	1	12	10	2	1
3	10.5	1	11	12	2	1
4	11	1	5	5	2	1
4	9.5	1	6	6	2	1
4	12	1	8	8	2	1
4	13	1	8	8	2	1
4	11.5	1	11	9	2	1
4	11.5	1	11	10	2	1
4	14	1	12	12	2	1
4	12	1	12	12	2	1
4	13	1	13	12	2	1
4	12.5	1	13	13	2	1
4	13.5	1	13	13	2	1
4	16	1	14	15	2	1
5	8	1	5	5	2	1
5	10.5	1	7	3	2	1
5	13	1	6.5	6.5	2	1
5	12.5	1	10	5	2	1
5	12	1	9	8	2	1
5	13.5	1	9	10	2	1
5	12	1	11	11	2	1
5	11.5	1	11	11	2	1
5	14	1	11	12	2	1
5	12	1	12	12	2	1
6	13.5	1	9	2	2	1
6	9.5	1	6	6	2	1
6	11	1	6	7	2	1
6	9.5	1	8	7	2	1
6	11	1	9	8	2	1
6	12.5	1	8	9	2	1
6	12.5	1	9	9	2	1
6	12.5	1	9	9	2	1
6	10.5	1	8	14	2	1
6	13	1	11.5	11	2	1
6	14.5	1	12	11	2	1
6	12.5	1	10.5	13	2	1
6	15	1	13	11	2	1
6	11.5	1	12	12.5	2	1
7	17.5	1	9	8	1	1
7	11	1	9	9	1	1
7	14	1	12	11	1	1
7	14.5	1	11	12	1	1
7	13	1	12	11	1	1
7	14	1	13	12	1	1
7	14	1	13	13	1	1
8	12	1	3.5	2	1	1
8	13.5	1	3	10	1	1
8	12.5	1	8	7	1	1
8	13	1	8	8	1	1
8	14.5	1	8	9	1	1
8	12.5	1	9	10	1	1
8	11.5	1	11	10	1	1
8	13.5	1	12	10	1	1
8	13.5	1	11	11	1	1
8	13.5	1	12.5	13	1	1
8	14.5	1	14	13	1	1
9	11.5	1	2	2	1	1
9	13.5	1	7	6	1	1
9	14	1	7	7	1	1
9	14	1	6	9	1	1
9	13	1	11	6	1	1
9	11.5	1	9	8	1	1
9	13.5	1	8.5	8.5	1	1
9	14	1	9	9	1	1
9	13	1	10	9	1	1
9	13	1	9	11	1	1
9	15.5	1	10	12	1	1
9	12.3	1	12	12	1	1
9	13.5	1	12	13	1	1
9	13.5	1	15	15	1	1
9	14	1	16	16	1	1
10	13	1	9	9	1	1
10	13.5	1	8	11	1	1
10	13.5	1	10	10	1	1
10	14	1	10	10	1	1
10	14	1	11	10.5	1	1
10	14.5	1	10	12	1	1
10	11	1	14	9	1	1
10	16.5	1	13	12	1	1
10	13.5	1	14	15	1	1
10	15	1	14	15	1	1
10	15.5	1	14	15	1	1
11	15	1	4	4	1	1
11	11.5	1	3.5	5.5	1	1
11	12.5	1	7	6	1	1
11	13.5	1	7	8	1	1
11	14.5	1	8	8	1	1
11	12	1	7	10	1	1
11	13.5	1	9	9	1	1
11	12	1	11	11	1	1
11	14	1	11	11	1	1
11	15	1	12	11	1	1
12	12	1	4	4	3	1
12	12	1	5	3	3	1
12	10.5	1	5	6	3	1
12	11.5	1	7	5.5	3	1
12	13	1	11	8	3	1
12	12.5	1	13	9	3	1
12	15	1	11	11	3	1
12	12	1	10	12	3	1
12	14.5	1	12	13	3	1
12	11	1	13	13	3	1
13	13	1	1	1	2	1
13	9.5	1	5	4	2	1
13	13	1	3	7	2	1
13	11.5	1	6	6	2	1
13	9.5	1	6	7	2	1
