Username,Group Name
GPTACH001,Group 1
RMJKAH001,Group 1
ADMNOA001,Group 2
LZZALB001,Group 2
MPKHAZ001,Group 3
MSVTIN003,Group 3
INDSHR003,Group 4
LLLMIT002,Group 4
DLDTHA021,Group 5
MNMKAT004,Group 5
BDRMUH003,Group 6
FRFMUD001,Group 6
KHSAND007,Group 7
MLDFUL004,Group 7
MKGKAR020,Group 8
MNKSTE007,Group 8
IMRMAH001,Group 9
MTSFAI004,Group 9
BRCLUK004,Group 10
GDXDAN001,Group 10
KBYRIS001,Group 11
MTSBRA007,Group 11
MDKASI005,Group 12
NGXANE002,Group 12
LRKEES001,Group 13
MCVJAR001,Group 13
SMBIDA001,Group 14
TMXMAT005,Group 14
LGDMOL004,Group 15
NGCNKU010,Group 15
HYDALI003,Group 16
MSNTAK009,Group 16
SBYSFI002,Group 17
SLBBOT001,Group 17
CHNMAT014,Group 18
KVNDAM002,Group 18
MKWVIN004,Group 19
NDXGIT002,Group 19
PRKFAT017,Group 20
SLMKOU001,Group 20
LPHLEB009,Group 21
MKTKHA008,Group 21
MGWXAB002,Group 22
PSWKAM001,Group 22
MLHRHE001,Group 23
VNLKAT001,Group 23
MTXRES002,Group 24
NCHMAI002,Group 24
MKWANE004,Group 25
NGDFAV001,Group 25
NCBMEN002,Group 26
PTTKEL002,Group 26
MDXTHO007,Group 27
NTSPUT001,Group 27
CHRTAF009,Group 28
ENVLUP001,Group 28
MPHMAT044,Group 29
QWBZET001,Group 29
SHBLOV003,Group 30
SHZLON004,Group 30
MKBTEB011,Group 31
MTLMPH037,Group 31
MDZMUT005,Group 32
MNYMOS010,Group 32
ARCDAN001,Group 33
CVDZAC001,Group 33
MNYUMU003,Group 34
NMKVHU004,Group 34
BNYAME002,Group 35
MBTZEK002,Group 35
KTSBON004,Group 36
RMVLAV001,Group 36
MNDTAY001,Group 37
MPFKHA003,Group 37
ORGACA001,Group 38
RMRRAC001,Group 38
NGBCHU004,Group 39
ZWNGUG008,Group 39
RMSNTO001,Group 40
ZNXCHU001,Group 40
HLTHLU001,Group 41
MKWTSH059,Group 41
NTLMBH001,Group 42
ZNNAPH002,Group 42
SHMADA001,Group 43
WRDRYA002,Group 43
HLRRUB001,Group 44
OLFDAN001,Group 44
MBSNIC002,Group 45
MBTMBA009,Group 45
HLNTHE010,Group 46
SHNTHE021,Group 46
NRSDAR002,Group 47
PRKAEE001,Group 47
FFLADA001,Group 48
MNDSIB016,Group 48
MKHBOK008,Group 49
PHRVAL001,Group 49
GMDMFU001,Group 50
LTSNKU002,Group 50
MTHKAR033,Group 51
NGWETH001,Group 51
NGMOTH001,Group 52
NMLMUT001,Group 52
SCWLIL001,Group 53
ZNDKHO003,Group 53
MHLZAK011,Group 54
SWLONE001,Group 54
MBNNKA010,Group 55
TSXTSH004,Group 55
DSXANS001,Group 56
MKMOSW001,Group 56
GYNTSO001,Group 57
MNXLIS006,Group 57
MCHTHA046,Group 58
PLLVEL003,Group 58
KBLPAU002,Group 59
SBKMLU001,Group 59
MNSHAN002,Group 60
SDRYUS004,Group 60
FNXEMI003,Group 61
TSHTHA134,Group 61
KRTAHM001,Group 62
PRKFAR017,Group 62
MLTFAR001,Group 63
RVHDZA001,Group 63
GBRARS001,Group 64
GLTJUW001,Group 64
BLYROA001,Group 65
MWNPEN001,Group 65
NDXTAL016,Group 66
SMRGAV002,Group 66
FHLSOL001,Group 67
NTSNTS020,Group 67
MPFMIC006,Group 68
MSXKUN001,Group 68
MLLNHL031,Group 69
NTSNAP001,Group 69
FRHSCO001,Group 70
MPKAND006,Group 70
HNDJOS012,Group 71
TFFTEB003,Group 71
CHNJAC009,Group 72
SBYSIB014,Group 72
JLXGCI001,Group 73
NYMWAR001,Group 73
GVNLIA003,Group 74
TCKSAM002,Group 74
NTYAZI001,Group 75
QHNSON001,Group 75
JMSROJ001,Group 76
RJXRAM001,Group 76
MPNEIN001,Group 77
MTMREJ003,Group 77
KNYCHI008,Group 78
LMNSOY001,Group 78
LXXTRI004,Group 79
SHRGIL004,Group 79
HNTCAS004,Group 80
HRRUVA001,Group 80
NSSMAG001,Group 81
PHSGIF001,Group 81
LXXJOS003,Group 82
MKHRAB004,Group 82
DVXILA001,Group 83
