StudyMethod,Noise,ExamScore
Flashcards,Quiet,60.6
Flashcards,Quiet,55.3
Flashcards,Quiet,64.7
Flashcards,Quiet,62.9
Flashcards,Quiet,71.0
Flashcards,Quiet,64.6
Flashcards,Quiet,58.4
Flashcards,Quiet,54.2
Flashcards,Music,56.4
Flashcards,Music,51.3
Flashcards,Music,52.6
Flashcards,Music,49.7
Flashcards,Music,42.0
Flashcards,Music,58.0
Flashcards,Music,55.7
Flashcards,Music,54.2
Summarising,Quiet,68.7
Summarising,Quiet,58.1
Summarising,Quiet,75.8
Summarising,Quiet,63.2
Summarising,Quiet,67.0
Summarising,Quiet,69.1
Summarising,Quiet,50.0
Summarising,Quiet,74.2
Summarising,Music,69.3
Summarising,Music,59.7
Summarising,Music,67.0
Summarising,Music,84.0
Summarising,Music,67.7
Summarising,Music,61.2
Summarising,Music,68.1
Summarising,Music,71.1
Practice Tests,Quiet,68.6
Practice Tests,Quiet,68.7
Practice Tests,Quiet,78.5
Practice Tests,Quiet,76.6
Practice Tests,Quiet,72.0
Practice Tests,Quiet,71.6
Practice Tests,Quiet,72.8
Practice Tests,Quiet,69.6
Practice Tests,Music,81.9
Practice Tests,Music,82.8
Practice Tests,Music,90.1
Practice Tests,Music,75.6
Practice Tests,Music,87.2
Practice Tests,Music,91.2
Practice Tests,Music,77.3
Practice Tests,Music,83.0
