"demand","fresh_price","ads_expenditure","size","ads_campaign","competitor_price"
7.38,3.85,5.5,"Small","B",3.8
8.51,3.75,6.75,"Big","B",4
9.52,3.7,7.25,"Big","B",4.3
7.5,3.7,5.5,"Small","A",3.7
9.33,3.6,7,"Big","C",3.85
8.28,3.6,6.5,"Small","A",3.8
8.75,3.6,6.75,"Big","C",3.75
7.87,3.8,5.25,"Small","C",3.85
7.1,3.8,5.25,"Small","B",3.65
8,3.85,6,"Small","C",4
7.89,3.9,6.5,"Small","A",4.1
8.15,3.9,6.25,"Small","C",4
9.1,3.7,7,"Big","C",4.1
8.86,3.75,6.9,"Big","A",4.2
8.9,3.75,6.8,"Big","B",4.1
8.87,3.8,6.8,"Big","B",4.1
9.26,3.7,7.1,"Big","B",4.2
9,3.8,7,"Big","A",4.3
8.75,3.7,6.8,"Big","B",4.1
7.95,3.8,6.5,"Small","B",3.75
7.65,3.8,6.25,"Small","C",3.75
7.27,3.75,6,"Small","A",3.65
8,3.7,6.5,"Small","A",3.9
8.5,3.55,7,"Big","A",3.65
8.75,3.6,6.8,"Big","A",4.1
9.21,3.65,6.8,"Big","B",4.25
8.27,3.7,6.5,"Small","C",3.65
7.67,3.75,5.75,"Small","B",3.75
7.93,3.8,5.8,"Small","C",3.85
9.26,3.7,6.8,"Big","C",4.25
