"SeedType","Fertilizer","Yield"
"C-952","Fert I",101.93
"C-952","Fert I",100.87
"B-894","Fert III",109.65
"C-952","Fert II",97.87
"A-402","Fert II",106.92
"A-402","Fert IV",98.61
"B-894","Fert I",106.59
"C-952","Fert IV",105.36
"C-952","Fert II",101.5
"A-402","Fert II",113.7
"C-952","Fert I",97.62
"A-402","Fert III",105.13
"C-952","Fert V",92.03
"B-894","Fert I",108.9
"B-894","Fert IV",101.87
"A-402","Fert II",114.29
"B-894","Fert III",104.52
"B-894","Fert III",100.18
"B-894","Fert IV",101.95
"A-402","Fert II",110.57
"C-952","Fert V",95.87
"C-952","Fert III",97.6
"C-952","Fert I",99.68
"A-402","Fert III",110.7
"C-952","Fert IV",101.25
"C-952","Fert III",93.59
"B-894","Fert I",109.4
"A-402","Fert III",107.97
"B-894","Fert III",106.51
"C-952","Fert V",93.46
"C-952","Fert I",104.91
"A-402","Fert IV",102.05
"C-952","Fert V",95.43
"A-402","Fert IV",101.5
"B-894","Fert IV",115.15
"A-402","Fert III",114.03
"B-894","Fert III",105.55
"C-952","Fert III",103.9
"C-952","Fert IV",106.33
"C-952","Fert I",98.96
"A-402","Fert V",108.21
"C-952","Fert IV",105.45
"A-402","Fert III",99.87
"A-402","Fert V",103.37
"C-952","Fert III",103.98
"A-402","Fert IV",99.75
"A-402","Fert I",89.7
"A-402","Fert IV",102.24
"C-952","Fert III",100.34
"B-894","Fert IV",101.14
"C-952","Fert V",95.73
"A-402","Fert V",100.15
"B-894","Fert V",108.47
"A-402","Fert V",104.13
"A-402","Fert III",101.27
"B-894","Fert I",108.42
"C-952","Fert II",99.34
"B-894","Fert V",102.24
"B-894","Fert II",102.82
"B-894","Fert V",103.46
"A-402","Fert III",109.83
"C-952","Fert I",97.18
"B-894","Fert II",103.13
"A-402","Fert I",104.09
"B-894","Fert II",109.42
"C-952","Fert IV",95.84
"C-952","Fert II",95.72
"B-894","Fert V",99.48
"A-402","Fert V",102.85
"A-402","Fert II",106.24
"B-894","Fert II",110.89
"A-402","Fert I",93.23
"A-402","Fert IV",91.65
"B-894","Fert I",111.51
"B-894","Fert I",110.11
"B-894","Fert II",104.95
"A-402","Fert I",88.1
"C-952","Fert III",106.91
"A-402","Fert V",110.2
"C-952","Fert V",97.28
"A-402","Fert III",108.76
"A-402","Fert II",109.11
"A-402","Fert I",95.75
"A-402","Fert II",102.08
"B-894","Fert I",105.68
"B-894","Fert V",105.28
"B-894","Fert I",110.17
"C-952","Fert IV",103.34
"A-402","Fert III",101.72
"C-952","Fert III",97.14
"A-402","Fert I",95.16
"A-402","Fert IV",109.02
"C-952","Fert IV",111.53
"A-402","Fert I",93.47
"A-402","Fert I",96.62
"C-952","Fert I",107.92
"C-952","Fert IV",104.99
"C-952","Fert II",94.43
"B-894","Fert IV",112.95
"C-952","Fert IV",100.5
"C-952","Fert V",93.57
"B-894","Fert III",107.17
"A-402","Fert IV",100.58
"A-402","Fert IV",103.02
"B-894","Fert II",106.23
"C-952","Fert I",100.48
"C-952","Fert II",93.58
"B-894","Fert IV",101.59
"A-402","Fert V",99.14
"A-402","Fert II",107.35
"A-402","Fert III",104.13
"B-894","Fert IV",113.15
"B-894","Fert II",121.13
"C-952","Fert III",105.07
"A-402","Fert V",106.93
"C-952","Fert I",99.95
"A-402","Fert II",108.07
"A-402","Fert IV",111.01
"B-894","Fert IV",119.14
"B-894","Fert V",101.82
"C-952","Fert II",94.9
"A-402","Fert I",103.31
"B-894","Fert V",111.82
"B-894","Fert II",111.74
"B-894","Fert IV",101.29
"B-894","Fert III",106.68
"A-402","Fert V",120.66
"C-952","Fert IV",104.41
"B-894","Fert V",100.72
"C-952","Fert V",94.83
"A-402","Fert II",108.13
"A-402","Fert II",109.76
"C-952","Fert II",88.76
"B-894","Fert II",115
"B-894","Fert V",103.74
"C-952","Fert IV",97.13
"C-952","Fert V",96.87
"B-894","Fert IV",106.63
"B-894","Fert III",112.91
"B-894","Fert II",95.57
"B-894","Fert II",114.51
"B-894","Fert III",103.7
"A-402","Fert III",99.73
"A-402","Fert V",103.17
"A-402","Fert IV",97.07
"C-952","Fert I",103.57
"B-894","Fert I",109.9
"B-894","Fert I",102.57
"B-894","Fert V",103.84
"B-894","Fert IV",108.01
"A-402","Fert I",102.15
"C-952","Fert V",96.84
"A-402","Fert II",108.74
"C-952","Fert II",96.71
"A-402","Fert V",107.64
"B-894","Fert II",105.07
"A-402","Fert I",98.07
"C-952","Fert III",102.94
"B-894","Fert IV",101.86
"C-952","Fert II",94.07
"B-894","Fert III",104.89
"B-894","Fert I",105.72
"C-952","Fert I",99.88
"A-402","Fert III",105.71
"B-894","Fert III",108.16
"B-894","Fert V",99.35
"A-402","Fert IV",104.09
"A-402","Fert I",109.5
"C-952","Fert III",98.19
"C-952","Fert II",97.56
"B-894","Fert I",107.4
"A-402","Fert V",106.59
"C-952","Fert IV",100.07
"B-894","Fert III",103.33
"C-952","Fert III",106.38
"C-952","Fert III",99.44
"C-952","Fert V",100.36
"C-952","Fert V",99.14
"C-952","Fert II",101.9
"B-894","Fert V",104.79
