"MachineSpeed","CoolingMethod","Strength"
"Low","Air",47.7
"High","Water",44.9
"High","Air",40.5
"Low","Air",43.9
"Low","Water",40.5
"Low","Air",48.6
"Low","Water",29.8
"High","Water",47.2
"High","Air",32.4
"High","Air",40.8
"High","Water",47.2
"Low","Air",37.9
"High","Water",47.7
"High","Water",54.6
"Low","Air",50.1
"Low","Water",37.1
"High","Air",36.7
"Low","Water",39.1
"High","Air",43.9
"High","Air",34.8
"High","Water",49.6
"Low","Water",38.4
"Low","Water",45.4
"High","Water",53.9
"High","Air",37.3
"Low","Water",38.1
"High","Air",38.9
"Low","Water",39.1
"High","Water",53.9
"Low","Air",45.3
"Low","Air",45.1
"Low","Air",43.7
