"Participant.ID","Condition","Comprehension"
"76b0823c2f","2.0x",33.33
"24ae54af6f","2.0x",50
"3add152a7f","1.5x",65
"e7d55aa954","2.0x",36.67
"f4f7a8b549","1.0x",53.33
"3ad6d70ab2","1.0x",41.67
"26948ff13b","2.0x",35
"17f3926350","1.5x",45
"5c341fa1ea","2.5x",56.67
"54cc92e502","1.0x",40
"42d9b2321d","1.5x",66.67
"ed74ff75b1","1.5x",48.33
"4071520d41","2.0x",23.33
"cd9ab8874b","2.0x",33.33
"a37925ae5f","1.0x",73.33
"45720ebf30","2.5x",33.33
"fe76f86e1e","1.5x",36.67
"9eab0409e3","1.5x",35
"6255927043","2.0x",61.67
"d267acbafe","1.0x",40
"d9808ba5f3","2.0x",76.67
"15f108e9a8","1.0x",51.67
"c5426e40eb","1.5x",28.33
"3c130c877a","2.0x",36.67
"5c9e5096b7","2.5x",33.33
"b325d60e48","2.5x",65
"f81075ce9b","2.0x",50
"881c1e5b51","1.0x",71.67
"47fc8bf0a7","2.5x",38.33
"169cc2ec81","1.0x",51.67
"6d7a88e68f","1.5x",41.67
"038f58119c","2.5x",28.33
"f05217685a","2.0x",58.33
"389fe0b6b9","2.0x",55
"74b8dae737","2.0x",36.67
"dc668b8a51","1.5x",38.33
"37ad19cc32","2.5x",43.33
"0d03ca8bcf","2.0x",63.33
"7eb54b80a8","2.0x",41.67
"2bde8db553","1.5x",60
"d1160b2705","2.0x",33.33
"4e5c383a5c","2.0x",51.67
"5cc82c2a47","2.5x",36.67
"77df8c496c","2.5x",36.67
"f61874ccfd","1.5x",36.67
"5c6f907a0e","2.5x",30
"d3b4cabbe4","2.5x",28.33
"d0374884db","2.5x",41.67
"1739bdee72","2.0x",40
"6ba2a4044c","1.5x",38.33
"993efb8035","1.5x",23.33
"a4782a931a","2.5x",53.33
"fd1a8e4aac","2.5x",38.33
"8d83628e7f","1.0x",65
"1a5b644d6f","2.0x",36.67
"3d40a6de15","2.0x",51.67
"46f74c26fc","2.5x",33.33
"951a11753e","1.0x",46.67
"e162b7ab3e","1.5x",26.67
"77d8fbe088","2.5x",26.67
"76dcc61d35","1.5x",60
"70a9c84ee6","2.5x",35
"43407350d4","2.0x",35
"dab895b5ca","1.5x",63.33
"354b9e926c","2.5x",45
"c74b539b15","1.5x",31.67
"67c992a84c","1.0x",18.33
"94b41045cd","1.5x",25
"1cf238e4ef","1.0x",40
"3b716eaa91","2.0x",50
"7dcb615088","1.0x",55
"b80150e7a2","2.5x",45
"8263493629","1.0x",61.67
"5bab032050","1.5x",41.67
"9a256aae2e","1.0x",71.67
"4418948196","1.5x",43.33
"5fa452f035","2.5x",35
"8cef900257","2.5x",36.67
"a45633ae07","1.5x",38.33
