"Tester","Prototype","Score"
"Tester1","A",77.5
"Tester1","B",85.8
"Tester1","C",76.2
"Tester1","D",72.8
"Tester2","A",73.5
"Tester2","B",65.7
"Tester2","C",65.9
"Tester2","D",70.4
"Tester3","A",80.4
"Tester3","B",85.1
"Tester3","C",69.2
"Tester3","D",70.6
"Tester4","A",30.9
"Tester4","B",59.7
"Tester4","C",42
"Tester4","D",39.4
"Tester5","A",61.3
"Tester5","B",65.3
"Tester5","C",55.3
"Tester5","D",58.2
"Tester6","A",68.5
"Tester6","B",68.3
"Tester6","C",59.4
"Tester6","D",49.3
"Tester7","A",80.7
"Tester7","B",87.5
"Tester7","C",65.1
"Tester7","D",73.6
"Tester8","A",64.6
"Tester8","B",60
"Tester8","C",53.1
"Tester8","D",58.3
"Tester9","A",72.7
"Tester9","B",78.4
"Tester9","C",64.1
"Tester9","D",50.5
"Tester10","A",51
"Tester10","B",47.2
"Tester10","C",31.2
"Tester10","D",42.6
