"Season","Species","Count"
"Summer","Megacrania",14
"Autumn","Megacrania",11
"Winter","Megacrania",7
"Autumn","Megacrania",10
"Spring","Megacrania",18
"Summer","Extatosoma",19
"Winter","Extatosoma",30
"Winter","Extatosoma",29
"Spring","Extatosoma",11
"Summer","Megacrania",16
"Winter","Extatosoma",31
"Summer","Extatosoma",21
"Summer","Extatosoma",15
"Spring","Extatosoma",13
"Spring","Extatosoma",12
"Summer","Megacrania",12
"Autumn","Extatosoma",26
"Spring","Megacrania",15
"Winter","Megacrania",8
"Autumn","Megacrania",9
"Winter","Megacrania",6
"Autumn","Extatosoma",23
"Autumn","Extatosoma",25
"Spring","Megacrania",22
