Marketing_Budget,Operational_Cost,Employee_Engagement_Score,Region,Quarterly_Profit
120,310,72,North,410
200,450,85,South,520
80,290,60,West,300
160,370,78,North,460
140,330,74,South,390
220,500,88,West,540
100,280,65,North,320
180,420,82,South,490
60,250,55,West,270
240,530,90,North,600
130,340,70,South,380
170,390,76,West,450
90,270,62,North,310
210,480,87,South,560
150,360,73,West,420
110,300,68,North,350
190,440,83,South,510
70,260,58,West,290
230,510,89,North,590
145,350,75,South,405
125,320,71,West,375
175,400,80,North,470
95,285,63,South,315
205,470,86,West,550
155,365,77,North,435
185,430,81,South,495
75,255,59,West,285
215,495,88,North,575
135,335,72,South,395
165,385,79,West,455
